[21:20:33] UDP debugger initialized OK
[21:20:34] Initialized telemetry.
[21:20:34] Initialized sensor.
[21:21:07] [7.39904618263] Data read
[21:21:07] [7.4107670784] Data read
[21:21:07] [7.42291212082] Data read
[21:21:07] [7.43464398384] Data read
[21:21:07] [7.44718313217] Data read
[21:21:07] [7.45985913277] Data read
[21:21:07] [7.47127914429] Data read
[21:21:07] [7.48251914978] Data read
[21:21:07] [7.49486804008] Data read
[21:21:07] [7.50666618347] Data read
[21:21:07] [7.51884198189] Data read
[21:21:07] [7.53073811531] Data read
[21:21:07] [7.54305696487] Data read
[21:21:07] [7.55519318581] Data read
[21:21:07] [7.56693696976] Data read
[21:21:07] [7.57852911949] Data read
[21:21:07] [7.59210896492] Data read
[21:21:07] [7.60272908211] Data read
[21:21:07] [7.61506319046] Data read
[21:21:07] [7.62638807297] Data read
[21:21:07] [7.63870716095] Data read
[21:21:07] [7.65049910545] Data read
[21:21:08] [7.66349101067] Data read
[21:21:08] [7.6747841835] Data read
[21:21:08] [7.68708515167] Data read
[21:21:08] [7.69842505455] Data read
[21:21:08] [7.7108809948] Data read
[21:21:08] [7.72264909744] Data read
[21:21:08] [7.73506307602] Data read
[21:21:08] [7.74635601044] Data read
[21:21:08] [7.75870203972] Data read
[21:21:08] [7.77066206932] Data read
[21:21:08] [7.78283119202] Data read
[21:21:08] [7.79415011406] Data read
[21:21:08] [7.80666017532] Data read
[21:21:08] [7.81823015213] Data read
[21:21:08] [7.830960989] Data read
[21:21:08] [7.84247899055] Data read
[21:21:08] [7.85451102257] Data read
[21:21:08] [7.86709904671] Data read
[21:21:08] [7.87893104553] Data read
[21:21:08] [7.89003109932] Data read
[21:21:08] [7.90256500244] Data read
[21:21:08] [7.91407299042] Data read
[21:21:08] [7.92648696899] Data read
[21:21:08] [7.93808102608] Data read
[21:21:08] [7.9505469799] Data read
[21:21:08] [7.96233296394] Data read
[21:21:08] [7.97461819649] Data read
[21:21:08] [7.98642802238] Data read
[21:21:08] [7.99835109711] Data read
[21:21:08] [8.01007413864] Data read
[21:21:08] [8.02281498909] Data read
[21:21:08] [8.03400707245] Data read
[21:21:08] [8.04725718498] Data read
[21:21:08] [8.05805206299] Data read
[21:21:08] [8.07051301003] Data read
[21:21:08] [8.08179402351] Data read
[21:21:08] [8.09459614754] Data read
[21:21:08] [8.10625219345] Data read
[21:21:08] [8.11855602264] Data read
[21:21:08] [8.13050198555] Data read
[21:21:08] [8.14224100113] Data read
[21:21:08] [8.15408611298] Data read
[21:21:08] [8.16624999046] Data read
[21:21:08] [8.17802214622] Data read
[21:21:08] [8.19052410126] Data read
[21:21:08] [8.20183110237] Data read
[21:21:08] [8.21421504021] Data read
[21:21:08] [8.22610116005] Data read
